participant_id,episode_index,episode_phase,policy_id,policy_short,metric,metric_value,total_dishes,total_human_steps,n_rounds,team_reward_score,human_reward_score,ai_reward_score,mental_demand,performance_score,ai_steps,emb_x,emb_y
Thinpath_P04,12,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.8,a0sp_1_helping0_False_gamma0.8,ai_reward_score,702.0,14.0,416.0,3,743.3333333333334,41.333333333333336,702.0,13.0,9.0,158.0,10.799539,109.37905
Thinpath_P04,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,ai_reward_score,3137.6666666666665,42.0,542.0,3,2957.0,-180.66666666666666,3137.6666666666665,7.0,16.0,222.33333333333334,0.52687544,49.09936
Thinpath_P04,14,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,ai_reward_score,59.0,15.0,446.0,3,950.3333333333334,891.3333333333334,59.0,11.0,7.0,124.33333333333333,55.081795,8.812907
Thinpath_P04,15,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,ai_reward_score,-11.0,11.0,437.0,3,503.3333333333333,514.3333333333334,-11.0,12.0,7.0,177.66666666666666,23.07529,-21.088758
Thinpath_P04,16,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.8,a0sp_3_helping0_True_gamma0.8,ai_reward_score,2904.6666666666665,39.0,521.0,3,2731.0,-173.66666666666666,2904.6666666666665,8.0,14.0,225.33333333333334,-44.978638,-33.83267
Thinpath_P05,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,ai_reward_score,244.0,4.0,141.0,2,343.5,99.5,244.0,15.0,7.0,76.0,-34.625923,18.150135
Thinpath_P05,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,ai_reward_score,-13.0,0.0,51.0,1,-34.0,-21.0,-13.0,11.0,4.0,13.0,0.52687544,49.09936
Thinpath_P05,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,ai_reward_score,55.666666666666664,5.0,262.0,3,301.6666666666667,246.0,55.666666666666664,7.0,14.0,87.66666666666667,-79.82283,29.541203
Thinpath_P05,4,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,ai_reward_score,-16.666666666666668,1.0,257.0,3,-19.0,-2.3333333333333335,-16.666666666666668,18.0,4.0,43.333333333333336,-30.803719,72.97943
Thinpath_P05,5,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.9,a0sp_3_helping0_False_gamma0.9,ai_reward_score,32.666666666666664,11.0,305.0,3,691.0,658.3333333333334,32.666666666666664,9.0,16.0,100.66666666666667,78.770775,-32.54613
Thinpath_P05,6,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,ai_reward_score,-26.666666666666668,5.0,228.0,3,307.3333333333333,334.0,-26.666666666666668,15.0,4.0,60.0,55.081795,8.812907
Thinpath_P05,7,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,ai_reward_score,269.0,9.0,240.0,3,489.0,220.0,269.0,6.0,16.0,137.66666666666666,23.07529,-21.088758
Thinpath_P05,9,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,ai_reward_score,1093.3333333333333,16.0,298.0,3,1100.6666666666667,7.333333333333333,1093.3333333333333,5.0,16.0,90.0,52.37194,-64.3468
