participant_id,episode_index,episode_phase,policy_id,policy_short,n_rounds,total_dishes,mean_dishes_per_round,total_human_steps,human_steps_per_dish,ai_steps,team_reward_score,human_reward_score,ai_reward_score,mental_demand,performance_score
Thinpath_P04,9,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.9,a0sp_1_helping0_False_gamma0.9,3,15.0,5.0,454.0,30.266666666666666,135.33333333333334,876.6666666666666,265.3333333333333,611.3333333333334,9.0,8.0
Thinpath_P04,11,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.9,a0sp_3_helping0_True_gamma0.9,3,29.0,9.666666666666666,460.0,15.862068965517242,203.33333333333334,1990.0,-146.66666666666666,2136.6666666666665,11.0,13.0
Thinpath_P04,12,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.8,a0sp_1_helping0_False_gamma0.8,3,14.0,4.666666666666667,416.0,29.714285714285715,158.0,743.3333333333334,41.333333333333336,702.0,13.0,9.0
Thinpath_P04,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,3,42.0,14.0,542.0,12.904761904761905,222.33333333333334,2957.0,-180.66666666666666,3137.6666666666665,7.0,16.0
Thinpath_P04,14,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,3,15.0,5.0,446.0,29.733333333333334,124.33333333333333,950.3333333333334,891.3333333333334,59.0,11.0,7.0
Thinpath_P04,15,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,3,11.0,3.6666666666666665,437.0,39.72727272727273,177.66666666666666,503.3333333333333,514.3333333333334,-11.0,12.0,7.0
Thinpath_P04,16,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.8,a0sp_3_helping0_True_gamma0.8,3,39.0,13.0,521.0,13.35897435897436,225.33333333333334,2731.0,-173.66666666666666,2904.6666666666665,8.0,14.0
Thinpath_P04,17,replay_optimal,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,3,16.0,5.333333333333333,430.0,26.875,121.66666666666667,1008.3333333333334,23.333333333333332,985.0,12.0,7.0
Thinpath_P05,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,2,4.0,2.0,141.0,35.25,76.0,343.5,99.5,244.0,15.0,7.0
Thinpath_P05,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,1,0.0,0.0,51.0,,13.0,-34.0,-21.0,-13.0,11.0,4.0
Thinpath_P05,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,3,5.0,1.6666666666666667,262.0,52.4,87.66666666666667,301.6666666666667,246.0,55.666666666666664,7.0,14.0
Thinpath_P05,4,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,3,1.0,0.3333333333333333,257.0,257.0,43.333333333333336,-19.0,-2.3333333333333335,-16.666666666666668,18.0,4.0
Thinpath_P05,5,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.9,a0sp_3_helping0_False_gamma0.9,3,11.0,3.6666666666666665,305.0,27.727272727272727,100.66666666666667,691.0,658.3333333333334,32.666666666666664,9.0,16.0
Thinpath_P05,6,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,3,5.0,1.6666666666666667,228.0,45.6,60.0,307.3333333333333,334.0,-26.666666666666668,15.0,4.0
Thinpath_P05,7,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,3,9.0,3.0,240.0,26.666666666666668,137.66666666666666,489.0,220.0,269.0,6.0,16.0
Thinpath_P05,9,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,3,16.0,5.333333333333333,298.0,18.625,90.0,1100.6666666666667,7.333333333333333,1093.3333333333333,5.0,16.0
Thinpath_P05,11,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.95,a0sp_1_helping0_False_gamma0.95,3,11.0,3.6666666666666665,291.0,26.454545454545453,82.33333333333333,750.6666666666666,136.33333333333334,614.3333333333334,8.0,14.0
Thinpath_P05,12,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.9,a0sp_3_helping0_True_gamma0.9,3,13.0,4.333333333333333,291.0,22.384615384615383,122.0,847.6666666666666,709.6666666666666,138.0,7.0,15.0
Thinpath_P05,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,3,20.0,6.666666666666667,318.0,15.9,119.33333333333333,1411.3333333333333,34.0,1377.3333333333333,4.0,18.0
Thinpath_P05,14,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3,10.0,3.3333333333333335,232.0,23.2,135.33333333333334,637.3333333333334,166.0,471.3333333333333,12.0,12.0
Thinpath_P05,15,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.9,a0sp_0_helping0_True_gamma0.9,3,7.0,2.3333333333333335,227.0,32.42857142857143,133.33333333333334,374.3333333333333,11.0,363.3333333333333,12.0,8.0
Thinpath_P05,16,stress,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.8,a0sp_1_helping0_True_gamma0.8,3,5.0,1.6666666666666667,201.0,40.2,96.33333333333333,186.66666666666666,233.0,-46.333333333333336,17.0,4.0
Thinpath_P05,17,replay_optimal,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,3,19.0,6.333333333333333,329.0,17.31578947368421,121.33333333333333,1359.0,43.666666666666664,1315.3333333333333,5.0,16.0
Thinpath_P06,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,3,5.0,1.6666666666666667,307.0,61.4,102.66666666666667,258.3333333333333,104.33333333333333,154.0,16.0,1.0
Thinpath_P06,2,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,2,3.0,1.5,190.0,63.333333333333336,56.5,268.5,305.0,-36.5,11.0,1.0
Thinpath_P06,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,3,12.0,4.0,361.0,30.083333333333332,159.66666666666666,740.0,446.3333333333333,293.6666666666667,7.0,15.0
Thinpath_P06,4,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,3,8.0,2.6666666666666665,219.0,27.375,69.0,521.3333333333334,103.66666666666667,417.6666666666667,16.0,3.0
Thinpath_P06,5,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.8,a0sp_1_helping0_True_gamma0.8,3,11.0,3.6666666666666665,377.0,34.27272727272727,150.0,641.0,571.0,70.0,13.0,12.0
