round,step,elapsed_sec,selected_agent,obs_1,obs_2,ai_macro_action,ai_macro_name,ai_primitive_action,human_action,human_action_label,reward,done,info
1,31,7.761,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.6, 0.0, 1.0, -0.4, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.6, 0.0, 1.0, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 1.0, 0.2, -0.2]",5,go to knife 1,4,3,UP,9.0,False,"{""cur_mac"": [4, 3], ""mac_done"": [true, true], ""collision"": []}"
1,32,8.012,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.6, 0.0, 1.0, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 1.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.6, 0.0, 1.0, -0.6, 0.0, 1.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 1.0, 0.2, -0.2]",5,go to knife 1,4,3,UP,9.0,False,"{""cur_mac"": [4, 3], ""mac_done"": [true, true], ""collision"": []}"
1,33,8.262,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.6, 0.0, 1.0, -0.6, 0.0, 1.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 1.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.6, 0.0, 1.0, -0.6, 0.0, 1.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 1.0, 0.2, -0.2]",5,go to knife 1,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,34,8.513,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.6, 0.0, 1.0, -0.6, 0.0, 1.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 1.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.6, 0.0, 1.0, -0.4, 0.0, 1.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",5,go to knife 1,4,3,UP,9.0,False,"{""cur_mac"": [4, 3], ""mac_done"": [true, true], ""collision"": []}"
1,35,8.763,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.6, 0.0, 1.0, -0.4, 0.0, 1.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.4, 1.0, 0.0, 1.0, 0.2, 0.6, 0.0, 1.0, -0.4, 0.2, 1.0, 0.0, 0.0, 0.0, -0.4, 0.4, 0.0, -0.2, 0.4, 0.0, -0.6, 0.2, 0.0, 0.2, 0.0]",6,deliver 1,2,4,STAY,-1.0,False,"{""cur_mac"": [2, 4], ""mac_done"": [true, true], ""collision"": []}"
1,36,9.013,1,"[0.6, 0.4, 1.0, 0.0, 1.0, 0.2, 0.6, 0.0, 1.0, -0.4, 0.2, 1.0, 0.0, 0.0, 0.0, -0.4, 0.4, 0.0, -0.2, 0.4, 0.0, -0.6, 0.2, 0.0, 0.2, 0.0]","[0.6, 0.4, 1.0, 0.0, 0.0, 0.4, 0.6, 0.0, 1.0, -0.2, 0.2, 1.0, 0.2, -0.2, 0.0, -0.4, 0.4, 0.0, -0.2, 0.4, 0.0, -0.6, 0.2, 0.0, 0.2, 0.0]",5,go to knife 1,1,1,DOWN,-51.0,False,"{""cur_mac"": [1, 1], ""mac_done"": [true, true], ""collision"": []}"
1,37,9.264,1,"[0.6, 0.4, 1.0, 0.0, 0.0, 0.4, 0.6, 0.0, 1.0, -0.2, 0.2, 1.0, 0.2, -0.2, 0.0, -0.4, 0.4, 0.0, -0.2, 0.4, 0.0, -0.6, 0.2, 0.0, 0.2, 0.0]","[0.6, 0.2, 1.0, 0.0, 0.0, 0.4, 0.6, 0.0, 1.0, -0.2, 0.4, 1.0, 0.2, 0.0, 0.0, -0.4, 0.6, 0.0, -0.2, 0.6, 0.0, -0.6, 0.4, 0.0, 0.2, 0.2]",3,get plate 1,2,4,STAY,-1.0,False,"{""cur_mac"": [2, 4], ""mac_done"": [true, true], ""collision"": []}"
1,38,9.514,1,"[0.6, 0.2, 1.0, 0.0, 0.0, 0.4, 0.6, 0.0, 1.0, -0.2, 0.4, 1.0, 0.2, 0.0, 0.0, -0.4, 0.6, 0.0, -0.2, 0.6, 0.0, -0.6, 0.4, 0.0, 0.2, 0.2]","[0.4, 0.2, 1.0, 0.0, 0.0, 0.4, 0.6, 0.0, 1.0, 0.0, 0.6, 1.0, 0.4, 0.0, 0.0, -0.2, 0.6, 0.0, 0.0, 0.6, 1.0, -0.4, 0.4, 0.0, 0.4, 0.2]",3,get plate 1,3,0,RIGHT,19.0,False,"{""cur_mac"": [3, 0], ""mac_done"": [true, true], ""collision"": []}"
1,39,9.766,1,"[0.4, 0.2, 1.0, 0.0, 0.0, 0.4, 0.6, 0.0, 1.0, 0.0, 0.6, 1.0, 0.4, 0.0, 0.0, -0.2, 0.6, 0.0, 0.0, 0.6, 1.0, -0.4, 0.4, 0.0, 0.4, 0.2]","[0.2, 0.2, 1.0, 0.0, 0.0, 0.4, 0.6, 0.0, 1.0, 0.2, 0.6, 1.0, 0.6, 0.0, 0.0, 0.0, 0.6, 0.0, 0.2, 0.6, 1.0, -0.2, 0.4, 0.0, 0.6, 0.2]",3,get plate 1,3,4,STAY,-1.0,False,"{""cur_mac"": [3, 4], ""mac_done"": [true, true], ""collision"": []}"
1,40,10.016,1,"[0.2, 0.2, 1.0, 0.0, 0.0, 0.4, 0.6, 0.0, 1.0, 0.2, 0.6, 1.0, 0.6, 0.0, 0.0, 0.0, 0.6, 0.0, 0.2, 0.6, 1.0, -0.2, 0.4, 0.0, 0.6, 0.2]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.4, 0.6, 0.0, 1.0, 0.2, 0.4, 1.0, 0.6, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 1.0, -0.2, 0.2, 0.0, 0.6, 0.0]",3,get plate 1,0,4,STAY,-1.0,False,"{""cur_mac"": [0, 4], ""mac_done"": [true, true], ""collision"": []}"
