participant_id,episode_index,episode_phase,policy_id,policy_short,metric_value,total_dishes,total_human_steps,n_rounds,emb_x,emb_y
Thinpath_P06,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,1.6666666666666667,5.0,307.0,3,-34.625923,18.150135
Thinpath_P06,2,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,1.5,3.0,190.0,2,-30.803719,72.97943
Thinpath_P06,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,4.0,12.0,361.0,3,23.07529,-21.088758
Thinpath_P06,4,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,2.6666666666666665,8.0,219.0,3,0.52687544,49.09936
Thinpath_P06,5,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.8,a0sp_1_helping0_True_gamma0.8,3.6666666666666665,11.0,377.0,3,-88.61982,-60.256435
Thinpath_P06,6,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.9,a0sp_0_helping0_True_gamma0.9,5.666666666666667,17.0,426.0,3,-45.946297,-3.975665
Thinpath_P06,7,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,2.6666666666666665,8.0,282.0,3,-79.82283,29.541203
Thinpath_P06,9,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.95,a0sp_3_helping0_True_gamma0.95,6.0,18.0,408.0,3,-111.805916,-53.910435
Thinpath_P06,11,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,4.0,12.0,402.0,3,55.081795,8.812907
Thinpath_P06,12,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.8,a0sp_3_helping0_True_gamma0.8,5.0,15.0,410.0,3,-44.978638,-33.83267
Thinpath_P06,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,2.0,2.0,69.0,1,52.37194,-64.3468
Thinpath_P06,14,stress,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.9,a0sp_1_helping0_False_gamma0.9,4.666666666666667,14.0,485.0,3,39.251617,65.513504
Thinpath_P06,15,stress,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.8,a0sp_1_helping0_False_gamma0.8,5.0,15.0,448.0,3,10.799539,109.37905
Thinpath_P06,16,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.9,a0sp_0_helping0_False_gamma0.9,4.666666666666667,14.0,421.0,3,68.68631,91.0827
Thinpath_P06,17,replay_optimal,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,4.333333333333333,13.0,405.0,3,52.37194,-64.3468
