Round,Timestamp,AI_X,AI_Y,Human_X,Human_Y,AI_Holding_Dish,Human_Holding_Dish,Action_Human,Score_Count
2,4.400,1,3,1,2,False,False,STAY,0
2,4.711,1,3,1,2,False,False,STAY,0
2,4.911,1,3,1,2,False,False,LEFT,0
2,5.111,1,3,1,1,False,False,STAY,0
2,5.311,1,3,1,1,False,False,STAY,0
2,5.511,1,3,1,1,False,False,RIGHT,0
2,5.711,1,3,1,2,False,False,DOWN,0
2,5.911,1,3,1,2,False,False,STAY,0
2,6.111,1,3,1,2,False,False,LEFT,0
2,6.311,1,3,1,1,False,False,STAY,0
2,6.511,1,3,1,1,False,False,STAY,0
2,6.711,1,3,1,1,False,False,STAY,0
2,6.911,1,3,1,1,False,False,STAY,0
2,7.111,2,3,1,1,False,False,STAY,0
2,7.311,2,3,1,1,False,False,RIGHT,0
2,7.511,1,3,1,2,False,False,STAY,0
2,7.711,1,3,1,2,False,False,STAY,0
2,7.911,1,3,1,2,False,False,LEFT,0
2,8.111,1,3,1,1,False,False,STAY,0
2,8.311,1,3,1,1,False,False,DOWN,0
2,8.511,1,3,2,1,True,False,DOWN,0
2,8.711,2,3,3,1,True,False,STAY,0
2,8.911,3,3,3,1,True,False,STAY,0
2,9.111,3,2,3,1,True,False,DOWN,0
2,9.311,3,2,3,1,False,False,STAY,1
2,9.511,3,3,3,1,False,False,UP,1
2,9.711,2,3,2,1,False,False,STAY,1
2,9.911,1,3,2,1,False,False,STAY,1
2,10.111,1,3,2,1,False,False,STAY,1
2,10.311,2,3,2,1,False,False,UP,1
2,10.511,3,3,1,1,False,False,STAY,1
2,10.711,3,2,1,1,False,False,RIGHT,1
2,10.911,3,1,1,2,False,False,RIGHT,1
2,11.111,3,1,1,3,False,False,STAY,1
2,11.311,2,1,1,3,False,False,UP,1
2,11.511,1,1,1,3,False,False,UP,1
2,11.711,1,2,1,3,False,False,STAY,1
2,11.911,1,2,1,3,False,False,UP,1
2,12.111,1,2,1,3,False,False,STAY,1
2,12.311,1,2,1,3,False,False,STAY,1
2,12.511,1,2,1,3,False,False,STAY,1
2,12.711,1,2,1,3,False,False,STAY,1
2,12.911,1,2,1,3,False,False,RIGHT,1
2,13.111,1,2,1,3,False,False,STAY,1
2,13.311,1,2,1,3,False,False,STAY,1
2,13.511,1,2,1,3,False,False,RIGHT,1
2,13.711,1,2,1,3,False,True,STAY,1
2,13.911,1,2,1,3,False,True,DOWN,1
2,14.111,1,2,2,3,False,True,DOWN,1
2,14.311,1,1,3,3,False,True,STAY,1
2,14.511,1,2,3,3,False,True,LEFT,1
2,14.711,1,3,3,2,False,True,STAY,1
2,14.911,1,3,3,2,False,True,DOWN,1
2,15.111,1,3,3,2,False,False,STAY,2
2,15.311,1,3,3,2,False,False,STAY,2
2,15.511,1,3,3,2,False,False,LEFT,2
2,15.711,1,3,3,1,True,False,STAY,2
2,15.911,2,3,3,1,True,False,DOWN,2
2,16.111,3,3,3,1,True,False,UP,2
2,16.311,3,2,2,1,True,False,STAY,2
2,16.511,3,2,2,1,False,False,UP,3
2,16.711,3,2,1,1,False,False,STAY,3
2,16.911,3,1,1,1,False,False,RIGHT,3
2,17.111,3,1,1,2,False,False,RIGHT,3
2,17.311,2,1,1,3,False,False,STAY,3
2,17.511,1,1,1,3,False,False,UP,3
2,17.711,1,2,1,3,False,False,UP,3
2,17.911,1,2,1,3,False,False,STAY,3
2,18.111,1,2,1,3,False,False,UP,3
2,18.311,1,2,1,3,False,False,STAY,3
2,18.511,1,2,1,3,False,False,STAY,3
2,18.711,1,2,1,3,False,False,DOWN,3
2,18.911,1,3,2,3,False,False,STAY,3
2,19.111,1,3,2,3,False,False,STAY,3
2,19.311,1,3,2,3,False,False,RIGHT,3
2,19.511,1,3,2,3,False,False,STAY,3
2,19.711,1,3,2,3,True,False,STAY,3
2,19.911,1,3,2,3,True,False,RIGHT,3
2,20.111,1,3,2,3,True,True,STAY,3
2,20.311,1,3,2,3,True,True,DOWN,3
2,20.511,2,3,3,3,True,True,LEFT,3
2,20.711,3,3,3,2,True,True,STAY,3
2,20.911,3,3,3,2,True,True,DOWN,3
2,21.111,3,3,3,2,True,False,STAY,4
2,21.311,3,3,3,2,True,False,LEFT,4
2,21.511,3,2,3,1,True,False,STAY,4
2,21.711,3,2,3,1,False,False,DOWN,5
2,21.911,3,2,3,1,False,False,UP,5
2,22.218,3,1,2,1,False,False,UP,5
2,22.420,3,1,1,1,False,False,UP,5
2,22.620,2,1,1,1,False,False,RIGHT,5
2,22.820,2,1,1,2,False,False,STAY,5
2,23.020,1,1,1,2,False,False,STAY,5
2,23.220,1,1,1,2,False,False,STAY,5
2,23.420,1,1,1,2,False,False,STAY,5
2,23.620,1,1,1,2,False,False,RIGHT,5
2,23.820,1,2,1,3,False,False,STAY,5
2,24.020,1,2,1,3,False,False,DOWN,5
2,24.220,1,2,2,3,False,False,DOWN,5
2,24.420,1,2,3,3,False,False,STAY,5
2,24.620,1,3,3,3,False,False,LEFT,5
2,24.820,1,3,3,2,False,False,LEFT,5
2,25.020,1,3,3,1,False,False,STAY,5
2,25.220,1,3,3,1,False,False,UP,5
2,25.420,1,3,2,1,False,False,UP,5
2,25.620,1,3,1,1,True,False,STAY,5
2,25.820,2,3,1,1,True,False,UP,5
2,26.020,3,3,1,1,True,False,RIGHT,5
2,26.220,3,2,1,2,True,False,RIGHT,5
2,26.420,3,2,1,3,False,False,STAY,6
2,26.620,3,1,1,3,False,False,UP,6
2,26.820,3,1,1,3,False,False,UP,6
2,27.020,2,1,1,3,False,False,STAY,6
2,27.220,1,1,1,3,False,False,UP,6
2,27.420,1,2,1,3,False,False,STAY,6
2,27.620,1,2,1,3,False,False,RIGHT,6
2,27.820,1,2,1,3,False,False,STAY,6
2,28.020,1,2,1,3,False,False,STAY,6
2,28.220,1,2,1,3,False,False,RIGHT,6
2,28.420,1,2,1,3,False,True,DOWN,6
2,28.620,1,2,2,3,False,True,DOWN,6
2,28.820,1,2,3,3,False,True,STAY,6
2,29.020,1,2,3,3,False,True,LEFT,6
2,29.220,1,3,3,2,False,True,STAY,6
2,29.420,1,3,3,2,False,True,DOWN,6
2,29.620,1,3,3,2,False,False,STAY,7
2,29.820,1,3,3,2,False,False,LEFT,7
2,30.020,1,3,3,1,True,False,STAY,7
2,30.220,2,3,3,1,True,False,DOWN,7
2,30.420,3,3,3,1,True,False,UP,7
2,30.620,3,2,2,1,True,False,STAY,7
2,30.820,3,2,2,1,False,False,UP,8
2,31.020,3,1,1,1,False,False,STAY,8
2,31.220,3,1,1,1,False,False,UP,8
2,31.420,3,2,1,1,False,False,STAY,8
2,31.620,3,3,1,1,False,False,RIGHT,8
2,31.820,2,3,1,2,False,False,STAY,8
2,32.020,1,3,1,2,False,False,LEFT,8
2,32.220,1,3,1,1,False,False,STAY,8
2,32.420,1,3,1,1,False,False,UP,8
2,32.620,1,3,1,1,False,False,STAY,8
2,32.820,1,3,1,1,False,False,STAY,8
2,33.020,1,3,1,1,False,False,RIGHT,8
2,33.220,1,3,1,2,True,False,STAY,8
2,33.420,2,3,1,2,True,False,STAY,8
2,33.620,3,3,1,2,True,False,RIGHT,8
2,33.820,3,2,1,3,True,False,STAY,8
2,34.020,3,2,1,3,False,False,UP,9
2,34.221,3,1,1,3,False,False,STAY,9
2,34.421,2,1,1,3,False,False,UP,9
2,34.621,3,1,1,3,False,False,UP,9
2,34.821,3,1,1,3,False,False,STAY,9
2,35.021,2,1,1,3,False,False,STAY,9
2,35.221,1,1,1,3,False,False,RIGHT,9
2,35.421,1,2,1,3,False,False,STAY,9
2,35.621,1,2,1,3,False,False,RIGHT,9
2,35.821,1,1,1,3,False,True,STAY,9
2,36.021,1,1,1,3,False,True,DOWN,9
2,36.221,1,1,2,3,False,True,DOWN,9
2,36.421,1,1,3,3,False,True,LEFT,9
2,36.621,1,1,3,2,False,True,STAY,9
2,36.821,1,2,3,2,False,True,DOWN,9
2,37.021,1,3,3,2,False,False,STAY,10
2,37.221,1,3,3,2,False,False,LEFT,10
2,37.421,1,3,3,1,False,False,STAY,10
2,37.621,1,3,3,1,False,False,DOWN,10
2,37.821,1,3,3,1,False,False,STAY,10
2,38.021,1,3,3,1,True,False,UP,10
2,38.221,2,3,2,1,True,False,UP,10
2,38.421,3,3,1,1,True,False,STAY,10
2,38.621,3,2,1,1,True,False,RIGHT,10
2,38.821,3,2,1,2,False,False,STAY,11
2,39.021,3,1,1,2,False,False,RIGHT,11
2,39.333,3,1,1,3,False,False,STAY,11
2,39.533,2,1,1,3,False,False,RIGHT,11
2,39.733,1,1,1,3,False,False,UP,11
2,39.933,1,2,1,3,False,False,STAY,11
2,40.133,1,2,1,3,False,False,UP,11
2,40.333,1,2,1,3,False,False,STAY,11
2,40.533,1,2,1,3,False,False,UP,11
2,40.733,1,2,1,3,False,False,STAY,11
2,40.933,1,2,1,3,False,False,RIGHT,11
2,41.133,1,2,1,3,False,False,STAY,11
2,41.333,1,2,1,3,False,False,STAY,11
2,41.533,1,2,1,3,False,False,RIGHT,11
2,41.733,1,2,1,3,False,True,STAY,11
2,41.933,1,2,1,3,False,True,DOWN,11
2,42.133,1,2,2,3,False,True,DOWN,11
2,42.333,1,2,3,3,False,True,LEFT,11
2,42.533,1,2,3,2,False,True,STAY,11
2,42.733,1,1,3,2,False,True,DOWN,11
2,42.933,2,1,3,2,False,False,STAY,12
2,43.133,3,1,3,2,False,False,STAY,12
2,43.442,3,1,3,2,False,False,RIGHT,12
2,43.643,2,1,3,3,False,False,STAY,12
2,43.843,1,1,3,3,False,False,STAY,12
2,44.043,1,2,3,3,False,False,LEFT,12
2,44.243,1,3,3,2,False,False,STAY,12
2,44.443,1,3,3,2,False,False,STAY,12
2,44.643,1,3,3,2,False,False,LEFT,12
2,44.843,1,3,3,1,False,False,STAY,12
2,45.043,1,3,3,1,False,False,STAY,12
2,45.243,1,3,3,1,False,False,DOWN,12
2,45.443,1,3,3,1,True,False,STAY,12
2,45.643,2,3,3,1,True,False,UP,12
2,45.843,3,3,2,1,True,False,UP,12
2,46.043,3,2,1,1,True,False,STAY,12
2,46.243,3,2,1,1,False,False,RIGHT,13
2,46.443,3,1,1,2,False,False,RIGHT,13
2,46.643,3,1,1,3,False,False,STAY,13
2,46.843,3,1,1,3,False,False,UP,13
2,47.043,3,1,1,3,False,False,STAY,13
2,47.243,2,1,1,3,False,False,UP,13
2,47.443,2,1,1,3,False,False,UP,13
2,47.643,1,1,1,3,False,False,STAY,13
2,47.843,1,2,1,3,False,False,RIGHT,13
2,48.043,1,2,1,3,False,False,STAY,13
2,48.243,1,2,1,3,False,False,STAY,13
